Data,Period,Organisation unit,Value
t33qItEEF1p,201407,LbjgDaDXJRa,75.0
t33qItEEF1p,201407,RPNI2yciVPb,0.0
t33qItEEF1p,201407,HiSkD51XNEw,78.3
t33qItEEF1p,201407,La4FiUTG0Ed,72.5
t33qItEEF1p,201407,mC4qkTGiah3,110.0
t33qItEEF1p,201407,R6tG0IzAhpv,98.3
t33qItEEF1p,201407,kfyFrKOKqnz,77.5
t33qItEEF1p,201407,SiFad15yKhZ,99.5
t33qItEEF1p,201407,q6NwSRm7CoV,87.5
t33qItEEF1p,201407,R5DowWkZPmm,100.0
t33qItEEF1p,201407,UdcrfRV5diV,36.7
t33qItEEF1p,201407,wPQb02U3UHx,39.2
t33qItEEF1p,201407,SfTrvW441Q0,101.3
t33qItEEF1p,201407,LT6XGXS57II,45.5
t33qItEEF1p,201407,rKoTTNZLKaN,0.0
t33qItEEF1p,201407,ge7aE8co40H,100.0
t33qItEEF1p,201407,QsbKIv43xwM,53.8
t33qItEEF1p,201407,YTgby61ISnd,70.0
t33qItEEF1p,201407,AcjY7Ic6kUU,10.0
t33qItEEF1p,201407,FSrkhOVFdOk,105.0
t33qItEEF1p,201407,BwF2JaC8lCL,74.0
t33qItEEF1p,201407,wgWlZhxXfS5,44.0
t33qItEEF1p,201407,KysFcG0IQYZ,93.8
t33qItEEF1p,201407,SKJI5xtKLmd,108.8
t33qItEEF1p,201407,VI8FnbLBPDD,113.8
t33qItEEF1p,201407,Udaaomim77o,57.5
t33qItEEF1p,201407,ClfJQm3Docv,128.0
t33qItEEF1p,201407,ovxDVLEpRgk,58.8
t33qItEEF1p,201407,XNmQ1GcM53S,27.5
t33qItEEF1p,201407,r7pU4IuyIJF,52.5
t33qItEEF1p,201407,oiQrJMqWJQ6,-37.5
t33qItEEF1p,201407,JPl6BiRGUjp,82.1
t33qItEEF1p,201407,zi9hv7KzZVp,0.0
t33qItEEF1p,201407,FVZSGQeGAWy,28.8
t33qItEEF1p,201407,uAmB8MLWUbq,141.0
t33qItEEF1p,201407,uECirbmK3vj,102.0
t33qItEEF1p,201407,zQdh7P5efBl,71.7
t33qItEEF1p,201407,zqmymbY6VTU,38.3
t33qItEEF1p,201407,kKYdOJ0uRod,70.0
t33qItEEF1p,201407,xpXgPL892GT,120.0
t33qItEEF1p,201407,yeGUcHoOF0W,87.0
t33qItEEF1p,201407,JpOeRsaZHoG,135.0
t33qItEEF1p,201407,JWdMKPTg0HL,23.8
t33qItEEF1p,201407,yrxkpEWxooc,71.3
t33qItEEF1p,201407,gCRidS1x9ty,125.8
t33qItEEF1p,201407,ZqmBdrwI59g,91.0
t33qItEEF1p,201407,cLBvS1WGEQF,130.0
t33qItEEF1p,201407,iSzLcFdtWbX,0.0
t33qItEEF1p,201407,iE17KE2PvJf,55.0
t33qItEEF1p,201407,ZwfQDUAuF1E,65.0
t33qItEEF1p,201407,jqLcZtIyJim,5.0
t33qItEEF1p,201407,dU7dDBWWWDi,117.5
t33qItEEF1p,201407,FX5DGY6VxPS,73.3
t33qItEEF1p,201407,PoAHq41Wjsk,50.0
t33qItEEF1p,201407,NBZfDf5Rag9,73.3
t33qItEEF1p,201407,mrRGRJwEwUm,26.3
t33qItEEF1p,201407,d23ZMyDAOEE,100.0
