Data,Period,Organisation unit,Value
smag5V5gz0s,201406,iSzLcFdtWbX,10.0
VRD05emEwOF,201506,RyzLT9D4nQ6,2.0
s5PaJNvYa6i,201803,MEAv0YmXK3C,28.0
d8MsenqQaMv,201401,jLbIZHuRAYh,20.0
Gk6WlfVitbC,201805,KysFcG0IQYZ,100.0
kuxcnLoB85c,201407,uECirbmK3vj,36.0
odmSZSezPsY,201405,JWdMKPTg0HL,200.0
Gk6WlfVitbC,201510,PoAHq41Wjsk,100.0
d8MsenqQaMv,201501,ge7aE8co40H,20.0
HIfJ6JvWQmQ,201811,tU13hbRnCGc,176.0
XkemTADiLv4,201508,Wl8S53qfNST,50.0
BkGKNzv3Vn6,201609,ldTs7l4tu6V,69.0
odmSZSezPsY,201612,cLBvS1WGEQF,60.0
OKXUzudHulV,201607,ClfJQm3Docv,162.0
byrpD40AkQG,201711,d23ZMyDAOEE,100.0
odmSZSezPsY,201711,uECirbmK3vj,80.0
s5PaJNvYa6i,201506,ldTs7l4tu6V,60.0
HIfJ6JvWQmQ,201901,d23ZMyDAOEE,40.0
OKXUzudHulV,201709,vmGyHazfngO,20.0
OKXUzudHulV,201611,FX5DGY6VxPS,80.0
VRD05emEwOF,201603,bArGQMJx5Vs,34.0
g2ZhqF3DKMx,201706,iE17KE2PvJf,60.0
smag5V5gz0s,201605,UdcrfRV5diV,30.0
g2ZhqF3DKMx,201612,La4FiUTG0Ed,22.0
HIfJ6JvWQmQ,201805,FX5DGY6VxPS,40.0
s5PaJNvYa6i,201705,LT6XGXS57II,200.0
Gk6WlfVitbC,201411,XNmQ1GcM53S,60.0
VRD05emEwOF,201409,RUBAdXhzucO,56.0
Gk6WlfVitbC,201409,fS76SN2mDYs,100.0
odmSZSezPsY,201705,UdcrfRV5diV,160.0
BQeaCpVaUYB,201605,RyzLT9D4nQ6,14.0
vOaRpiWvl2K,201709,zqmymbY6VTU,48.0
g2ZhqF3DKMx,201812,FX5DGY6VxPS,27.0
VRD05emEwOF,201801,zQdh7P5efBl,10.0
HIfJ6JvWQmQ,201810,iE17KE2PvJf,100.0
OKXUzudHulV,201408,IKdUHYliWr5,530.0
BkGKNzv3Vn6,201410,SiFad15yKhZ,730.0
BkGKNzv3Vn6,201406,RPNI2yciVPb,65.0
XkemTADiLv4,201811,uAmB8MLWUbq,100.0
vOaRpiWvl2K,201407,JpOeRsaZHoG,771.0
VRD05emEwOF,201601,La4FiUTG0Ed,30.0
VRD05emEwOF,201602,SfTrvW441Q0,98.0
odmSZSezPsY,201810,JPl6BiRGUjp,120.0
BkGKNzv3Vn6,201612,MQ4km4gi9bz,20.0
kuxcnLoB85c,201411,MEAv0YmXK3C,10.0
s5PaJNvYa6i,201610,BwF2JaC8lCL,30.0
byrpD40AkQG,201608,q6NwSRm7CoV,100.0
odmSZSezPsY,201708,RQiyqxziOzo,20.0
XkemTADiLv4,201901,SiFad15yKhZ,300.0
AMVejJGpKI9,201901,UdcrfRV5diV,120.0
BQeaCpVaUYB,201809,FKvvYL7xV0p,12.0
HIfJ6JvWQmQ,201412,q6NwSRm7CoV,20.0
Gk6WlfVitbC,201604,SiFad15yKhZ,30.0
BkGKNzv3Vn6,201804,FKvvYL7xV0p,15.0
oACe0uiAmnT,201608,YTgby61ISnd,440.0
vOaRpiWvl2K,201510,wgWlZhxXfS5,222.0
AMVejJGpKI9,201604,KysFcG0IQYZ,50.0
BQeaCpVaUYB,201706,oiQrJMqWJQ6,30.0
OKXUzudHulV,201701,LT6XGXS57II,340.0
d8MsenqQaMv,201708,FVZSGQeGAWy,80.0
OKXUzudHulV,201505,QsbKIv43xwM,240.0
